name,diet,lived_in,type,taxonomy,species,period_name,period_start,period_end,length_meters
othnielia,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,rex,Late Jurassic,154,142,1.4
ouranosaurus,herbivorous,Niger,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,nigeriensis,Early Cretaceous,115,100,7
oviraptor,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,philoceratops,Late Cretaceous,85,75,2
pachycephalosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,wyomingensis,Late Cretaceous,76,65,8
pachyrhinosaurus,herbivorous,Canada,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,canadensis,Late Cretaceous,76,74,6
panoplosaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,mirus,Late Cretaceous,79,75,7
pantydraco,herbivorous,Wales,euornithopod,Dinosauria Saurischia,caducus,Early Jurassic,9999,9999,3
paralititan,herbivorous,Egypt,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,stromeri,Late Cretaceous,99,94,28
parasaurolophus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,walkeri,Late Cretaceous,76,74,11
parksosaurus,herbivorous,Canada,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,warrenae,Late Cretaceous,76,74,3
patagosaurus,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,fariasi,Mid Jurassic,164,159,18
pelicanimimus,carnivorous,Spain,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,polyodon,Early Cretaceous,127,121,2
pelorosaurus,herbivorous,United Kingdom,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,conybearei,Early Cretaceous,125,125,25
pentaceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,sternbergi,Late Cretaceous,76,74,6.8
piatnitzkysaurus,carnivorous,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,floresi,Late Jurassic,164,159,4.2
pinacosaurus,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,grangeri,Late Cretaceous,81,75,5
plateosaurus,herbivorous,Switzerland,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,engelhardti,Late Triassic,210,210,7
podokesaurus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,holyokensis,Mid Jurassic,195,180,0.9
poekilopleuron,carnivorous,France,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,bucklandii,Mid Jurassic,169,164,9
polacanthus,herbivorous,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,foxii,Early Cretaceous,125,125,5
prenocephale,herbivorous,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,prenes,Late Cretaceous,80,65,2.4
probactrosaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,gobiensis,Early Cretaceous,121,99,6
proceratosaurus,carnivorous,United Kingdom,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,bradleyi,Mid Jurassic,169,164,4.1
procompsognathus,carnivorous,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,triassicus,Late Triassic,221,210,1
prosaurolophus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,maximus,Late Cretaceous,77,75,7.6
protarchaeopteryx,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,robusta,Early Cretaceous,122,120,2
protoceratops,herbivorous,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,andrewsi,Late Cretaceous,74,70,1.8
protohadros,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,byrdi,Late Cretaceous,99,94,6
psittacosaurus,herbivorous,Russia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,mongoliensis,Early Cretaceous,120,100,2
quaesitosaurus,herbivorous,Mongolia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,orientalis,Late Cretaceous,86,84,23
rebbachisaurus,herbivorous,Morocco,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,garasbae,Early Cretaceous,112,99,20
rhabdodon,herbivorous,Spain,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,priscus,Late Cretaceous,76,70,4
rhoetosaurus,herbivorous,Australia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda,brownei,Mid Jurassic,177,169,15
rinchenia,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,mongoliensis,Late Cretaceous,72,68,2.5
riojasaurus,herbivorous/omnivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,incertus,Late Triassic,221,210,5.15
rugops,carnivorous,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,primus,Late Cretaceous,95,95,7
saichania,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,chulsanensis,Late Cretaceous,80,80,6.6
saltasaurus,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,loricatus,Late Cretaceous,70,65,12
saltopus,carnivorous,United Kingdom,small theropod,Dinosauria,elginensis,Late Triassic,221,210,9999
sarcosaurus,carnivorous,United Kingdom,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,woodi,Early Jurassic,202,195,3
saurolophus,herbivorous,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,osborni,Late Cretaceous,74,70,9
sauropelta,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,edwardsorum,Early Cretaceous,121,94,6.5
saurophaganax,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,maximus,Late Jurassic,154,142,12
saurornithoides,carnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,mongoliensis,Late Cretaceous,85,80,3
scelidosaurus,herbivorous,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,harrisonii,Early Jurassic,208,194,4
scutellosaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora,lawleri,Early Jurassic,205,202,1.2
secernosaurus,herbivorous,Argentina,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,koerneri,Late Cretaceous,71,65,3
segisaurus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,halli,Mid Jurassic,195,180,1.5
segnosaurus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,galbinensis,Late Cretaceous,97,88,4
shamosaurus,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,scutatus,Early Cretaceous,121,99,9999
shanag,carnivorous,Mongolia,small theropod,Dinosauria Saurischia,ashile,Early Cretaceous,126,142,0.45
shantungosaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,giganteus,Late Cretaceous,78,74,15
shunosaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,lii,Mid Jurassic,170,160,10
shuvuuia,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,deserti,Late Cretaceous,75,81,0.6
silvisaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,condrayi,Early Cretaceous,121,112,4
sinocalliopteryx,carnivorous,China,small theropod,Dinosauria Saurischia,gigas,Early Cretaceous,125,125,2.37
sinornithosaurus,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,millenii,Early Cretaceous,122,120,2
sinosauropteryx,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,prima,Early Cretaceous,122,120,1
sinovenator,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,changii,Early Cretaceous,127,121,1
sinraptor,carnivorous,China,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,hepingensis,Mid Jurassic,169,142,7.6
sonidosaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,saihangaobiensis,Late Cretaceous,89,65,9
spinosaurus,carnivorous,Morocco,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,aegyptiacus,Late Cretaceous,95,70,18
staurikosaurus,carnivorous,Brazil,large theropod,Dinosauria Saurischia Theropoda Herrerasauridae,pricei,Late Triassic,227,221,2
stegoceras,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,validum,Late Cretaceous,76,74,2.4
stegosaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,armatus,Late Jurassic,155,145,9
stenopelix,herbivorous,Germany,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,valdensis,Early Cretaceous,127,121,1.5
struthiomimus,omnivorous,Canada,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,altus,Late Cretaceous,76,74,4
struthiosaurus,herbivorous,Spain,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,austriacus,Late Cretaceous,83,75,2.5
styracosaurus,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,albertensis,Late Cretaceous,76,70,5.5
suchomimus,carnivorous,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,tenerensis,Early Cretaceous,121,112,11
supersaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,vivianae,Early Cretaceous,154,142,35
talarurus,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,plicatospineus,Late Cretaceous,99,89,6
tanius,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,sinensis,Late Cretaceous,89,65,9999
tarbosaurus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,bataar,Late Cretaceous,74,70,10
tarchia,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,gigantea,Late Cretaceous,75,68,8.5
telmatosaurus,herbivorous,Spain,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,transsylvanicus,Late Cretaceous,84,65,5
tenontosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,tillettorum,Early Cretaceous,120,110,7
thecodontosaurus,omnivorous,United Kingdom,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda,antiquus,Late Triassic,227,205,2.5
therizinosaurus,unknown,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,cheloniformis,Late Cretaceous,85,70,9999
thescelosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,neglectus,Late Cretaceous,76,67,3.5
torosaurus,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,latus,Late Cretaceous,70,65,7.5
torvosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,tanneri,Late Jurassic,155,144,10
triceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,horridus,Late Cretaceous,68,66,9
troodon,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,formosus,Late Cretaceous,74,65,2
tsagantegia,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,longicranialis,Late Cretaceous,99,84,9999
tsintaosaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,spinorhinus,Late Cretaceous,84,71,12
tuojiangosaurus,herbivorous,China,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,multispinus,Late Jurassic,157,154,7
tylocephale,herbivorous,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,gilmorei,Late Cretaceous,75,72,1.4
tyrannosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,rex,Late Cretaceous,68,66,12
udanoceratops,herbivorous,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,tschizhovi,Late Cretaceous,81,75,9999
unenlagia,carnivorous,Argentina,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,comahuensis,Late Cretaceous,94,86,2.4
urbacodon,carnivorous,Uzbekistan,small theropod,Dinosauria Saurischia,itemirensis,Late Cretaceous,95,95,1
utahraptor,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,ostrommaysorum,Early Cretaceous,112,100,6
valdosaurus,herbivorous,United Kingdom,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,canaliculatus,Early Cretaceous,142,121,3
velociraptor,carnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,mongoliensis,Late Cretaceous,74,70,1.8
vulcanodon,herbivorous,Zimbabwe,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,karibaensis,Early Jurassic,205,202,6.5
yandusaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,hongheensis,Mid Jurassic,169,159,3
yangchuanosaurus,carnivorous,China,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,shangyouensis,Late Jurassic,160,144,10
yimenosaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda,youngi,Early Jurassic,195,190,9
yingshanosaurus,herbivorous,China,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria,jichuanensis,Late Jurassic,159,142,9999
yinlong,herbivorous,China,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,downsi,Mid Jurassic,159,154,1.2
yuanmousaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,jiangyiensis,Mid Jurassic,180,159,17
yunnanosaurus,omnivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,huangi,Early Jurassic,205,190,7
zalmoxes,herbivorous,Romania,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,robustus,Late Cretaceous,69,69,3
zephyrosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,schaffi,Early Cretaceous,120,110,1.8
zuniceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,christopheri,Late Cretaceous,94,89,9999